1,a,66.06,s3,50.00
2,a,75.15,s3,10.00
3,a,70.00,s3,10.00
4,a,72.42,s3,10.00
5,a,71.52,s3,10.00
6,a,70.30,s3,10.00
7,a,72.73,s3,10.00
8,a,74.55,s3,10.00
9,a,72.42,s3,11.52
10,a,70.91,s3,10.00
11,a,64.85,s3,23.03
12,a,75.45,s3,10.00
13,a,68.48,s3,10.00
14,a,73.03,s3,10.00
15,a,71.21,s3,10.00
16,a,66.06,s3,10.00
17,a,73.64,s3,10.00
18,a,70.30,s3,10.00
19,a,70.61,s3,10.00
20,a,72.73,s3,10.00
1,a,64.24,s3,51.52
2,a,72.42,s3,10.00
3,a,75.15,s3,10.00
4,a,75.45,s3,10.00
5,a,70.91,s3,10.00
6,a,74.85,s3,10.00
7,a,71.52,s3,10.00
8,a,73.64,s3,10.00
9,a,72.42,s3,10.00
10,a,73.03,s3,10.00
11,a,71.82,s3,10.00
12,a,75.15,s3,10.00
13,a,73.33,s3,10.00
14,a,71.52,s3,10.00
15,a,73.64,s3,10.00
16,a,75.45,s3,10.30
17,a,69.70,s3,10.00
18,a,73.03,s3,10.00
19,a,73.03,s3,10.00
20,a,75.76,s3,10.00
